sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
99,4.85E-07,1.00E-07,1.00E+17,1.31E-06,0.00E+00,7.47E-04,9.93E-01,7.42E-01,1.47E+01,2.41E+03,3.61E+01,TRUE,7.36E-01,9.28E-01,7.01E-01,4.06E+02,9.59E+01,5.17E+02,4.85E-07,2.44E-03,2.52E+02,1.04E+00,6.36E+03
100,3.79E-07,1.00E-07,1.61E+19,1.31E-06,2.02E-08,4.74E-04,9.19E-01,4.35E-01,2.59E+01,7.17E+03,3.74E+01,TRUE,1.29E+00,5.44E-01,9.86E-01,4.58E+02,9.80E+01,5.71E+02,4.19E-07,5.46E-01,4.43E+02,1.26E+00,1.60E+04
101,4.23E-07,1.20E-07,4.69E+20,1.31E-06,2.24E-07,4.98E-04,,1.24E+00,6.94E+04,,1.06E-01,FALSE,3.47E+03,1.56E+00,2.14E+02,5.25E+02,9.39E+01,6.34E+02,8.71E-07,6.94E+04,6.94E+04,9.76E-01,9.40E+03
102,4.73E-07,7.00E-08,1.00E+21,1.31E-06,6.50E-07,1.00E-03,8.48E-01,8.48E-01,1.08E+01,2.25E+03,1.19E+02,TRUE,5.39E-01,1.06E+00,7.07E-01,4.06E+02,9.25E+01,5.13E+02,1.77E-06,9.56E-05,7.06E+02,5.75E-01,9.02E+03
103,4.60E-07,9.00E-08,7.63E+19,1.31E-06,7.17E-07,6.61E-04,8.77E-01,5.79E-01,1.76E+01,4.99E+03,5.50E+01,TRUE,8.80E-01,7.24E-01,6.49E-01,3.80E+02,9.47E+01,4.89E+02,1.89E-06,1.68E-04,4.70E+02,5.61E-01,1.44E+04
104,4.61E-07,9.00E-08,6.91E+19,1.31E-06,7.24E-07,6.62E-04,8.77E-01,5.80E-01,1.76E+01,5.08E+03,5.49E+01,TRUE,8.78E-01,7.25E-01,6.49E-01,3.80E+02,9.47E+01,4.89E+02,1.91E-06,1.51E-04,4.68E+02,5.59E-01,1.47E+04
105,4.85E-07,7.00E-08,9.65E+20,1.31E-06,5.94E-07,8.52E-04,8.56E-01,7.29E-01,1.31E+01,2.50E+03,1.01E+02,TRUE,6.56E-01,9.11E-01,6.30E-01,3.86E+02,9.19E+01,4.93E+02,1.67E-06,2.03E-04,7.02E+02,5.98E-01,8.88E+03
106,4.61E-07,9.00E-08,6.71E+19,1.31E-06,7.25E-07,6.62E-04,8.77E-01,5.80E-01,1.76E+01,5.11E+03,5.49E+01,TRUE,8.79E-01,7.25E-01,6.49E-01,3.90E+02,9.58E+01,5.01E+02,1.91E-06,1.46E-04,4.67E+02,5.56E-01,1.48E+04
107,4.71E-07,7.00E-08,9.18E+20,1.31E-06,5.09E-07,8.40E-04,8.56E-01,7.19E-01,1.34E+01,2.40E+03,9.88E+01,TRUE,6.68E-01,8.98E-01,6.26E-01,3.91E+02,9.37E+01,4.99E+02,1.49E-06,8.53E-04,6.95E+02,6.42E-01,8.41E+03
108,4.33E-07,8.00E-08,7.29E+20,1.31E-06,5.39E-08,7.55E-04,,1.89E+00,7.62E+04,,3.11E-03,FALSE,3.81E+03,2.36E+00,2.21E+02,4.44E+02,9.17E+01,5.51E+02,5.41E-07,7.62E+04,7.62E+04,1.15E+00,6.35E+03
109,4.78E-07,7.00E-08,9.95E+20,1.31E-06,5.10E-07,7.52E-04,8.62E-01,6.49E-01,1.52E+01,2.63E+03,8.95E+01,TRUE,7.61E-01,8.11E-01,6.18E-01,3.88E+02,9.21E+01,4.95E+02,1.50E-06,8.35E-04,7.04E+02,6.39E-01,8.50E+03
110,4.62E-07,9.00E-08,7.07E+19,1.31E-06,7.18E-07,6.66E-04,8.76E-01,5.83E-01,1.75E+01,5.03E+03,5.53E+01,TRUE,8.73E-01,7.29E-01,6.47E-01,3.94E+02,9.40E+01,5.02E+02,1.90E-06,1.56E-04,4.68E+02,5.61E-01,1.46E+04
111,4.62E-07,9.00E-08,6.98E+19,1.31E-06,7.20E-07,6.64E-04,8.76E-01,5.82E-01,1.75E+01,5.05E+03,5.51E+01,TRUE,8.75E-01,7.27E-01,6.48E-01,3.94E+02,9.38E+01,5.02E+02,1.90E-06,1.53E-04,4.68E+02,5.59E-01,1.47E+04
112,4.62E-07,9.00E-08,7.05E+19,1.31E-06,7.19E-07,6.65E-04,8.76E-01,5.83E-01,1.75E+01,5.04E+03,5.52E+01,TRUE,8.74E-01,7.28E-01,6.47E-01,3.90E+02,9.38E+01,4.98E+02,1.90E-06,1.55E-04,4.68E+02,5.60E-01,1.46E+04
113,3.70E-07,8.00E-08,1.99E+20,1.31E-06,6.09E-07,1.61E-04,,4.03E-01,8.27E+04,,1.61E-01,FALSE,4.13E+03,5.03E-01,2.11E+02,3.65E+02,9.17E+01,4.72E+02,1.59E-06,8.27E+04,8.27E+04,6.19E-01,9.82E+03
