sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
137,4.757015e-07,7.000000e-08,9.127568e+20,1.310000e-06,6.260936e-07,9.894546e-04,8.483160e-01,8.393702e-01,1.093039e+01,2.259127e+03,1.166873e+02,True,5.465195e-01,1.049213e+00,3.789000e-01,3.884016e+02,9.380072e+01,4.970988e+02,1.727889e-06,1.126151e-04,6.970078e+02,5.833853e-01,8.918581e+03
138,4.986905e-07,1.200000e-07,1.559423e+20,1.310000e-06,6.264668e-09,7.751767e-04,,1.937942e+00,7.856500e+04,,1.004590e+00,False,3.928250e+03,2.422427e+00,1.613235e+02,4.950819e+02,1.101327e+02,6.199600e+02,5.112199e-07,7.856448e+04,7.856500e+04,1.302450e+00,1.022676e+04
139,4.757298e-07,7.000000e-08,9.126382e+20,1.310000e-06,6.263993e-07,9.898650e-04,8.483007e-01,8.397031e-01,1.092476e+01,2.258556e+03,1.167232e+02,True,5.462378e-01,1.049629e+00,3.787103e-01,3.904338e+02,9.381884e+01,4.989095e+02,1.728528e-06,1.121447e-04,6.969230e+02,5.836885e-01,8.917472e+03
140,4.757408e-07,7.000000e-08,9.127371e+20,1.310000e-06,6.265021e-07,9.901485e-04,8.482877e-01,8.399308e-01,1.092089e+01,2.258244e+03,1.167558e+02,True,5.460443e-01,1.049913e+00,3.785798e-01,3.943735e+02,9.382080e+01,5.032657e+02,1.728745e-06,1.120124e-04,6.969173e+02,5.835147e-01,8.918551e+03
141,4.757519e-07,7.000000e-08,9.128067e+20,1.310000e-06,6.266107e-07,9.904213e-04,8.482750e-01,8.401496e-01,1.091715e+01,2.257933e+03,1.167819e+02,True,5.458575e-01,1.050187e+00,3.784536e-01,3.815764e+02,9.386765e+01,4.898160e+02,1.728973e-06,1.121822e-04,6.968758e+02,5.833065e-01,8.918698e+03
142,4.757638e-07,7.000000e-08,9.128605e+20,1.310000e-06,6.267247e-07,9.906955e-04,8.482627e-01,8.403701e-01,1.091342e+01,2.257558e+03,1.168159e+02,True,5.456711e-01,1.050463e+00,3.783285e-01,3.820160e+02,9.383534e+01,4.911827e+02,1.729213e-06,1.120281e-04,6.968875e+02,5.832929e-01,8.918367e+03
143,4.757757e-07,7.000000e-08,9.129074e+20,1.310000e-06,6.268410e-07,9.909704e-04,8.482481e-01,8.405887e-01,1.090968e+01,2.257476e+03,1.168592e+02,True,5.454841e-01,1.050736e+00,3.782022e-01,4.044334e+02,9.283337e+01,5.118125e+02,1.729458e-06,1.118623e-04,6.969614e+02,5.831340e-01,8.921055e+03
144,4.757883e-07,7.000000e-08,9.129481e+20,1.310000e-06,6.269641e-07,9.912528e-04,8.482355e-01,8.408158e-01,1.090582e+01,2.257077e+03,1.168941e+02,True,5.452909e-01,1.051020e+00,3.780722e-01,3.979093e+02,9.593083e+01,5.081090e+02,1.729716e-06,1.116956e-04,6.969724e+02,5.832792e-01,8.920692e+03
145,4.613326e-07,7.000000e-08,6.603830e+20,1.310000e-06,4.020955e-07,8.507351e-04,8.543528e-01,7.268279e-01,1.316073e+01,2.252491e+03,9.567822e+01,True,6.580364e-01,9.085348e-01,4.722543e-01,3.779649e+02,9.378626e+01,4.867971e+02,1.265524e-06,5.679322e-03,6.603959e+02,7.059841e-01,7.858532e+03
146,4.623340e-07,1.000000e-07,3.407188e+20,1.310000e-06,1.897964e-07,6.883330e-04,8.694602e-01,5.984781e-01,1.757980e+01,3.024752e+03,6.110866e+01,True,8.789901e-01,7.480977e-01,7.513262e-01,4.764660e+02,1.000520e+02,5.907574e+02,8.419267e-07,6.973906e-01,5.060841e+02,9.462832e-01,8.601033e+03
147,4.758477e-07,7.000000e-08,9.129682e+20,1.310000e-06,6.272965e-07,9.921392e-04,8.481940e-01,8.415266e-01,1.089377e+01,2.256202e+03,1.170082e+02,True,5.446883e-01,1.051908e+00,3.776679e-01,3.795850e+02,9.248563e+01,4.861597e+02,1.730441e-06,1.111263e-04,6.970367e+02,5.837613e-01,8.923356e+03
148,4.758907e-07,7.000000e-08,9.130302e+20,1.310000e-06,6.274553e-07,9.926286e-04,8.481712e-01,8.419190e-01,1.088711e+01,2.255626e+03,1.170695e+02,True,5.443555e-01,1.052399e+00,3.774449e-01,3.715835e+02,9.582845e+01,4.817557e+02,1.730801e-06,1.109258e-04,6.970617e+02,5.827443e-01,8.924258e+03
149,4.706149e-07,9.000000e-08,3.734130e+19,1.310000e-06,2.529595e-08,7.478386e-04,8.668243e-01,6.482447e-01,1.657809e+01,3.951592e+03,5.582008e+01,True,8.289045e-01,8.103059e-01,6.840339e-01,4.024630e+02,9.593290e+01,5.132174e+02,5.212068e-07,1.313666e+00,4.164057e+02,1.156202e+00,1.282570e+04
150,4.645525e-07,7.000000e-08,8.500328e+20,1.310000e-06,4.546658e-07,8.092801e-04,8.575222e-01,6.939756e-01,1.396273e+01,2.390832e+03,9.419915e+01,True,6.981365e-01,8.674696e-01,5.139055e-01,3.861763e+02,9.217027e+01,4.930463e+02,1.373884e-06,2.087276e-03,6.867254e+02,6.733145e-01,8.114340e+03
