sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
85,4.761362e-07,7.000000e-08,8.561655e+20,6.227576e-07,1.310000e-06,9.860767e-04,8.484458e-01,8.366326e-01,1.097662e+01,2.265906e+03,1.153870e+02,3.804615e-01
86,4.723613e-07,7.000000e-08,9.057361e+20,6.621318e-07,1.310000e-06,1.000000e-03,8.480092e-01,8.480092e-01,1.078672e+01,2.270003e+03,1.179004e+02,3.741576e-01
87,3.905529e-07,8.000000e-08,8.378348e+20,5.331616e-07,1.310000e-06,4.225545e-04,,1.056386e+00,7.495775e+04,,8.526972e-03,2.143449e+02
88,4.783344e-07,8.000000e-08,6.521245e+20,7.140814e-07,1.310000e-06,9.293743e-04,,2.323436e+00,7.077957e+04,,1.944537e-01,2.029264e+02
89,4.800741e-07,9.000000e-08,6.066760e+19,6.273319e-07,1.310000e-06,4.627506e-04,9.105243e-01,4.213457e-01,2.619525e+01,6.842641e+03,3.765692e+01,1.571670e+00
90,4.674155e-07,9.000000e-08,8.980914e+19,6.837817e-07,1.310000e-06,5.661956e-04,8.892234e-01,5.034744e-01,2.097206e+01,5.453780e+03,4.733724e+01,1.029219e+00
91,4.746977e-07,7.000000e-08,9.300938e+20,6.022528e-07,1.310000e-06,1.000000e-03,8.476818e-01,8.476818e-01,1.078858e+01,2.215958e+03,1.181179e+02,3.741612e-01
92,4.731823e-07,7.000000e-08,8.961706e+20,6.259579e-07,1.310000e-06,1.000000e-03,8.478045e-01,8.478045e-01,1.078773e+01,2.237684e+03,1.176659e+02,3.741524e-01
93,4.691431e-07,9.000000e-08,4.760074e+17,6.582950e-09,1.310000e-06,7.263524e-04,9.428845e-01,6.848665e-01,1.516833e+01,2.907330e+03,5.192648e+01,5.909640e-01
94,4.848184e-07,7.000000e-08,9.200974e+20,6.452604e-07,1.310000e-06,9.800737e-04,8.488960e-01,8.319807e-01,1.105912e+01,2.312360e+03,1.157885e+02,3.833391e-01
95,4.725138e-07,7.000000e-08,8.307967e+20,4.659712e-07,1.310000e-06,6.946815e-04,8.669026e-01,6.022212e-01,1.670060e+01,2.722810e+03,8.065437e+01,6.842146e-01
96,3.559907e-07,9.000000e-08,4.451559e+20,7.525365e-07,1.310000e-06,8.219685e-04,8.669499e-01,7.126056e-01,1.389343e+01,3.200234e+03,7.513972e+01,5.136565e-01
